pwm,newtons,grams
1000,0.00000,0.00000
1010,0.00215,0.21935
1020,0.00000,0.00000
1030,0.00098,0.09949
1040,0.00000,0.00000
1050,0.00000,0.00000
1060,0.00000,0.00000
1070,0.03071,3.13122
1080,0.87010,88.72229
1090,2.15577,219.81982
1100,3.14579,320.77008
1110,3.86978,394.59378
1120,4.61383,470.46298
1130,5.42818,553.50098
1140,6.14379,626.47003
1150,6.95745,709.43750
1160,7.78269,793.58563
1170,8.52625,869.40460
1180,9.32123,950.46698
1190,10.07165,1026.98633
1200,10.78183,1099.40149
1210,11.51507,1174.16846
1220,12.41623,1266.05798
1230,12.19163,1243.15552
1240,12.05258,1228.97766
1250,11.98737,1222.32751
1260,13.92075,1419.47034
1270,15.85129,1616.32434
1280,16.58003,1690.63220
1290,17.23640,1757.56140
1300,17.88345,1823.53943
1310,18.53266,1889.73840
1320,19.26214,1964.12146
1330,20.15145,2054.80298
1340,20.93137,2134.32910
1350,21.59723,2202.22632
1360,21.98382,2241.64526
1370,22.33128,2277.07568
1380,22.70666,2315.35278
1390,22.87376,2332.39160
1400,23.41014,2387.08423
1410,23.73904,2420.62207
1420,24.32313,2480.18042
1430,24.84574,2533.47046
1440,24.12239,2459.71167
1450,24.11156,2458.60718
1460,23.20803,2366.47559
1470,23.69311,2415.93823
1480,22.17739,2261.38403
1490,21.58251,2200.72461
1500,21.50755,2193.08105
1510,22.11122,2254.63696
1520,23.28391,2374.21313
1530,23.13182,2358.70508
1540,25.10719,2560.12988
1550,25.85411,2636.29126
1560,26.55026,2707.27612
1570,27.37822,2791.70142
1580,28.14115,2869.49609
1590,28.66087,2922.49121
1600,29.15715,2973.09595
1610,30.11387,3070.65015
1620,30.66346,3126.69116
1630,31.49824,3211.81177
1640,32.09909,3273.07935
1650,33.06125,3371.18848
1660,33.79984,3446.50122
1670,34.45872,3513.68579
1680,35.70315,3640.57812
1690,36.24437,3695.76562
1700,37.15470,3788.58984
1710,38.15667,3890.75854
1720,39.22040,3999.22534
1730,40.62337,4142.28271
1740,41.08031,4188.87646
1750,41.72912,4255.03369
1760,43.04964,4389.68506
1770,43.38714,4424.09961
1780,44.47531,4535.05762
1790,45.23048,4612.06104
1800,46.78886,4770.96582
1810,47.88026,4882.25391
1820,47.71227,4865.12354
1830,48.93993,4990.30615
1840,49.67794,5065.55957
1850,50.80913,5180.90479
1860,52.02719,5305.10742
1870,52.91880,5396.02344
1880,53.06059,5410.48096
1890,54.50337,5557.59912
1900,54.98082,5606.28369
1910,55.75373,5685.09570
1920,57.15527,5828.00732
1930,57.34075,5846.92041
1940,58.55004,5970.22900
1950,59.59367,6076.64600
1960,59.84505,6102.27930
1970,59.37861,6054.71729
1980,59.90489,6108.38086
1990,59.99972,6118.05029
2000,59.62253,6079.58936
