pwm,newtons,grams
1000,0.00000,0.00000
1010,0.00000,0.00000
1020,0.00000,0.00000
1030,0.00000,0.00000
1040,0.00000,0.00000
1050,0.00000,0.00000
1060,0.00000,0.00000
1070,0.00094,0.09636
1080,0.27607,28.15041
1090,1.77215,180.70270
1100,2.97653,303.51117
1110,3.87130,394.74893
1120,4.59922,468.97299
1130,5.39739,550.36115
1140,6.15701,627.81744
1150,6.89485,703.05371
1160,7.74815,790.06348
1170,8.55825,872.66748
1180,9.25571,943.78613
1190,10.01294,1020.99957
1200,10.81072,1102.34705
1210,11.57745,1180.52954
1220,12.34441,1258.73474
1230,12.65662,1290.56958
1240,12.36995,1261.33875
1250,12.58603,1283.37244
1260,12.70859,1295.86926
1270,14.84995,1514.21936
1280,16.46972,1679.38428
1290,17.11273,1744.95105
1300,17.95492,1830.82654
1310,18.76809,1913.74463
1320,19.32946,1970.98633
1330,20.16928,2056.62036
1340,20.75645,2116.49292
1350,21.17991,2159.67261
1360,21.86114,2229.13672
1370,22.31530,2275.44604
1380,22.76228,2321.02393
1390,22.97786,2343.00586
1400,22.99696,2344.95410
1410,23.88653,2435.66138
1420,24.40038,2488.05786
1430,24.27919,2475.69995
1440,24.48046,2496.22339
1450,24.15763,2463.30444
1460,23.04637,2349.99219
1470,22.69898,2314.56958
1480,21.94249,2237.43115
1490,21.62997,2205.56445
1500,21.52036,2194.38770
1510,22.26529,2270.34692
1520,23.44576,2390.71680
1530,23.67378,2413.96777
1540,24.99998,2549.19702
1550,26.02782,2654.00391
1560,26.69116,2721.64355
1570,27.53751,2807.94434
1580,27.92315,2847.26758
1590,28.77963,2934.60083
1600,29.25944,2983.52612
1610,30.54932,3115.05298
1620,30.48530,3108.52417
1630,31.14242,3175.52930
1640,32.20350,3283.72583
1650,32.92707,3357.50659
1660,33.99824,3466.73242
1670,34.71999,3540.32739
1680,35.23890,3593.23999
1690,36.34259,3705.78052
1700,36.75870,3748.21094
1710,38.24255,3899.51538
1720,38.96614,3973.29883
1730,39.70946,4049.09375
1740,40.36341,4115.77588
1750,41.67994,4250.01904
1760,42.68840,4352.84961
1770,43.45245,4430.75830
1780,44.43227,4530.66895
1790,45.14916,4603.76904
1800,46.03982,4694.58740
1810,47.08994,4801.66650
1820,48.21488,4916.37451
1830,49.05727,5002.27051
1840,49.67109,5064.86084
1850,50.58857,5158.41455
1860,51.61685,5263.26611
1870,53.24244,5429.02393
1880,53.59706,5465.18359
1890,54.61337,5568.81494
1900,55.37303,5646.27588
1910,55.64767,5674.28076
1920,56.25906,5736.62256
1930,57.44122,5857.16553
1940,58.40178,5955.11182
1950,58.91180,6007.11768
1960,59.67636,6085.07812
1970,59.71680,6089.20166
1980,60.29140,6147.79248
1990,59.84579,6102.35400
2000,59.77861,6095.50439
