1250,36.83926,3756.42505
1252,33.82888,3449.46216
1254,31.43361,3205.22192
1256,28.65137,2921.52222
1258,27.25081,2778.71021
1260,24.44898,2493.01294
1262,23.04433,2349.78394
1264,20.56186,2096.65161
1266,19.24041,1961.90601
1268,18.42418,1878.67615
1270,18.56904,1893.44763
1272,19.19404,1957.17712
1274,19.58529,1997.07288
1276,19.62725,2001.35059
1278,19.69390,2008.14746
1280,19.92124,2031.32874
1282,20.03193,2042.61597
1284,20.02611,2042.02185
1286,20.20738,2060.50586
1288,20.03186,2042.60803
1290,20.37860,2077.96436
1292,20.40240,2080.39185
1294,20.63557,2104.16724
1296,20.89265,2130.38135
1298,21.02289,2143.66211
1300,21.51961,2194.31152
1302,22.31309,2275.22070
1304,22.47674,2291.90747
1306,22.51105,2295.40674
1308,22.75162,2319.93701
1310,22.79175,2324.02881
1312,23.15778,2361.35254
1314,23.56835,2403.21729
1316,23.65335,2411.88403
1318,23.30988,2376.86182
1320,23.49849,2396.09326
1322,24.00874,2448.12231
1324,24.28473,2476.26514
1326,24.68328,2516.90405
1328,24.71371,2520.00732
1330,25.26823,2576.55078
1332,26.04619,2655.87769
1334,26.18100,2669.62402
1336,26.47261,2699.35815
1338,26.62626,2715.02588
1340,26.62330,2714.72388
1342,26.54067,2706.29883
1344,27.19151,2772.66309
1346,27.54443,2808.64966
1348,27.56637,2810.88745
1350,27.69940,2824.45215
1352,27.28539,2782.23584
1354,27.34651,2788.46802
1356,28.09570,2864.86182
1358,28.38589,2894.45239
1360,28.41956,2897.88525
1362,29.34422,2992.17139
1364,29.19081,2976.52832
1366,29.88022,3046.82544
1368,30.56710,3116.86523
1370,31.45326,3207.22510
1372,31.78770,3241.32739
1374,31.90431,3253.21851
1376,31.82116,3244.73950
1378,31.90975,3253.77295
1380,31.76243,3238.75073
1382,31.72897,3235.33936
1384,32.07875,3271.00586
1386,32.35290,3298.96021
1388,32.78233,3342.74805
1390,32.76108,3340.58130
1392,32.60349,3324.51221
1394,32.92050,3356.83740
1396,33.57628,3423.70508
1398,33.70068,3436.38989
1400,33.76514,3442.96289
1402,33.62771,3428.94995
1404,33.69168,3435.47217
1406,34.15673,3482.89307
1408,34.41338,3509.06250
1410,34.94875,3563.65381
1412,35.65331,3635.49658
1414,35.74567,3644.91333
1416,35.87607,3658.21045
1418,36.27637,3699.02856
1420,36.21549,3692.82031
1422,36.53076,3724.96802
1424,37.82920,3857.36670
1426,38.87361,3963.86328
1428,38.49671,3925.43164
1430,38.46110,3921.80078
1432,39.74139,4052.34961
1434,39.35088,4012.53003
1436,39.79230,4057.54028
1438,40.01568,4080.31787
1440,39.96704,4075.35889
1442,40.16598,4095.64380
1444,40.39439,4118.93408
1446,41.01478,4182.19385
1448,40.77206,4157.44482
1450,41.04499,4185.27441
1452,41.69690,4251.74902
1454,41.90287,4272.75146
1456,42.57622,4341.41113
1458,42.30352,4313.60449
1460,43.07466,4392.23633
1462,43.32560,4417.82422
1464,43.34494,4419.79590
1466,43.24585,4409.69238
1468,45.38062,4627.37061
1470,45.42955,4632.35937
1472,44.30798,4517.99561
1474,44.41134,4528.53467
1476,44.69860,4557.82568
1478,45.64541,4654.37012
1480,46.07586,4698.26270
1482,46.42316,4733.67627
1484,46.16707,4707.56299
1486,47.44604,4837.97705
1488,47.75742,4869.72754
1490,48.13817,4908.55176
1492,47.53408,4846.95410
1494,47.69565,4863.42969
1496,48.35948,4931.11816
1498,49.56521,5054.06445
1500,49.71536,5069.37500
