pwm,newtons,grams
1000,0.00244,0.24834
1010,0.00139,0.14179
1020,0.00562,0.57266
1030,0.00169,0.17235
1040,0.00000,0.00000
1050,0.00290,0.29534
1060,0.00138,0.14101
1070,0.05353,5.45868
1080,0.12097,12.33529
1090,1.40837,143.60831
1100,3.46436,353.25418
1110,4.59486,468.52881
1120,5.58500,569.49078
1130,6.44217,656.89545
1140,7.34409,748.86249
1150,8.30904,847.25580
1160,9.13555,931.53387
1170,10.00551,1020.24200
1180,10.81687,1102.97461
1190,11.55488,1178.22791
1200,12.38022,1262.38623
1210,12.33134,1257.40137
1220,12.23672,1247.75330
1230,14.17318,1445.21106
1240,15.64346,1595.13196
1250,16.64352,1697.10608
1260,17.05716,1739.28406
1270,17.78262,1813.25818
1280,18.83975,1921.05127
1290,19.57330,1995.84961
1300,20.52941,2093.34204
1310,21.49127,2191.42114
1320,22.01806,2245.13745
1330,22.68486,2313.12964
1340,23.13704,2359.23706
1350,24.16132,2463.68140
1360,24.60547,2508.96997
1370,24.85586,2534.50146
1380,25.68262,2618.80542
1390,26.04390,2655.64355
1400,26.91137,2744.09790
1410,27.26340,2779.99438
1420,27.38716,2792.61328
1430,27.90683,2845.60278
1440,27.38854,2792.75464
1450,26.93952,2746.96899
1460,25.93334,2644.36987
1470,25.48589,2598.74487
1480,25.11763,2561.19409
1490,24.48343,2496.52563
1500,24.68576,2517.15698
1510,25.00488,2549.69702
1520,26.07440,2658.75415
1530,26.94270,2747.29321
1540,28.33173,2888.92896
1550,29.49876,3007.92944
1560,29.18403,2975.83691
1570,29.79797,3038.43872
1580,31.06726,3167.86597
1590,31.74885,3237.36621
1600,33.24754,3390.18433
1610,33.49046,3414.95508
1620,34.26997,3494.44019
1630,34.92685,3561.42017
1640,35.27925,3597.35352
1650,37.24935,3798.24146
1660,37.08788,3781.77661
1670,38.67722,3943.83789
1680,39.94876,4073.49414
1690,40.75029,4155.22510
1700,41.61231,4243.12354
1710,42.10909,4293.77881
1720,43.85824,4472.13672
1730,40.87242,4167.67773
1740,40.52971,4132.73242
1750,46.60747,4752.46924
1760,48.92183,4988.46045
1770,48.72723,4968.61768
1780,50.84171,5184.22705
1790,51.36476,5237.56104
1800,54.07825,5514.25049
1810,55.43332,5652.42334
1820,57.26235,5838.92578
1830,59.77232,6094.86328
1840,61.42294,6263.17334
1850,56.09234,5719.62305
1860,56.66929,5778.45312
1870,60.54283,6173.43018
1880,63.25234,6449.71338
1890,63.31899,6456.50977
1900,65.40214,6668.92432
1910,65.54053,6683.03516
1920,66.89665,6821.31689
1930,68.37224,6971.77979
1940,67.62274,6895.35400
1950,65.19776,6648.08447
1960,65.52999,6681.96094
1970,67.64037,6897.15234
1980,69.29406,7065.77588
1990,71.47045,7287.69775
2000,70.73822,7213.03369
