pwm,newtons,grams
1000,0.00292,0.29769
1010,0.00430,0.43870
1020,0.00401,0.40893
1030,0.00430,0.43870
1040,0.00590,0.60165
1050,0.00702,0.71602
1060,0.00484,0.49354
1070,0.00616,0.62828
1080,0.00290,0.29612
1090,0.00963,0.98237
1100,0.04626,4.71680
1110,0.08016,8.17391
1120,0.14773,15.06385
1130,0.22089,22.52409
1140,0.27117,27.65061
1150,0.31309,31.92558
1160,0.37400,38.13631
1170,0.42146,42.97532
1180,0.46514,47.42891
1190,0.50568,51.56287
1200,0.55035,56.11829
1210,0.59330,60.49746
1220,0.63222,64.46612
1230,0.67964,69.30122
1240,0.72424,73.84959
1250,0.76877,78.39013
1260,0.81200,82.79828
1270,0.85264,86.94242
1280,0.90010,91.78143
1290,0.95988,97.87701
1300,0.99703,101.66471
1310,1.04432,106.48727
1320,1.08041,110.16686
1330,1.12046,114.25069
1340,1.16187,118.47317
1350,1.19582,121.93576
1360,1.24230,126.67529
1370,1.28446,130.97375
1380,1.32055,134.65413
1390,1.36403,139.08734
1400,1.40308,143.06934
1410,1.44637,147.48296
1420,1.46123,148.99883
1430,1.49490,152.43243
1440,1.53122,156.13553
1450,1.56946,160.03447
1460,1.59211,162.34470
1470,1.62617,165.81746
1480,1.69124,172.45203
1490,1.72831,176.23189
1500,1.75438,178.89070
1510,1.77384,180.87505
1520,1.78923,182.44420
1530,1.82086,185.66942
1540,1.85244,188.88916
1550,1.88412,192.11986
1560,1.92700,196.49199
1570,1.96322,200.18567
1580,1.97182,201.06227
1590,1.97889,201.78377
1600,2.00561,204.50763
1610,2.00881,204.83430
1620,2.05808,209.85820
1630,2.07139,211.21582
1640,2.11898,216.06816
1650,2.14282,218.49902
1660,2.18121,222.41362
1670,2.23648,228.04936
1680,2.25960,230.40657
1690,2.28888,233.39209
1700,2.31882,236.44576
1710,2.35030,239.65532
1720,2.37823,242.50372
1730,2.42294,247.06227
1740,2.45645,250.47945
1750,2.47861,252.73872
1760,2.51814,256.77005
1770,2.53336,258.32120
1780,2.56463,261.51038
1790,2.60265,265.38736
1800,2.64418,269.62161
1810,2.66508,271.75323
1820,2.68141,273.41794
1830,2.70118,275.43359
1840,2.70043,275.35764
1850,2.79262,284.75833
1860,2.83655,289.23776
1870,2.86310,291.94437
1880,2.90320,296.03369
1890,2.92281,298.03293
1900,2.95999,301.82373
1910,2.96685,302.52332
1920,3.03405,309.37643
1930,3.11624,317.75714
1940,3.19710,326.00156
1950,3.25379,331.78223
1960,3.31808,338.33841
1970,3.38048,344.70035
1980,3.42286,349.02234
1990,3.44815,351.60123
2000,3.51701,358.62204
